Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy
Afghanistan,Asia,Southern Asia,Southern Asia,19996141020,11.44768809,,66.388,63.382,0.2782,38928341,27.01612903,4.905079842,14.20810032,98920,0
Albania,Europe,Southern Europe,Southern Europe,14541470526,69.64285467,6406000,80.201,77.002,1.2164,2837743,29.50819672,73.3405304,46.94403839,10080,0
Algeria,Africa,Northern Africa,Northern Africa,1.42E+11,49.03846808,2371000,78.133,75.676,1.7193,43851043,25.75757576,64.42080688,38.83169937,218910,0
American Samoa,Oceania,Polynesia,Polynesia,189700000,0,52700.00076,,,0.781,55197,,,,20.7495349,0
Andorra,Europe,Southern Europe,Southern Europe,,91.56746703,8235000,,,3.3333,77265,46.42857143,,,590,0
Angola,Africa,Sub-Saharan Africa,Middle Africa,57402543636,14.33907936,218000,64.039,58.416,0.2146,32866268,30,8.453249931,10.23822975,79730,0
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,1390371092,73,1035000,78.104,75.858,2.956,97928,11.11111111,34.28886032,15.26887989,1210,1
Argentina,Americas,Latin America and the Caribbean,South America,3.73E+11,74.29490687,7399000,79.995,73.242,3.9901,45376763,40.85603113,112.798439,67.77472687,365650,0
Armenia,Asia,Western Asia,Western Asia,12446598217,68.24505226,1894000,78.516,71.327,4.4023,2963234,23.48484848,59.44847107,44.38237,9360,0
Aruba,Americas,Latin America and the Caribbean,Caribbean,2991584752,97.17,1951000,78.641,73.768,1.12,106766,,20.69791985,10.66734982,616.928696,1
Australia,Oceania,Australia and New Zealand,Australia and New Zealand,1.30E+12,86.54504885,9466000,85,80.9,3.6778,25687041,30.46357616,124.4397583,91.83286285,615380,1
Austria,Europe,Western Europe,Western Europe,4.47E+11,87.75220479,31884000,84.2,79.5,5.1697,8917205,39.3442623,94.63156128,79.20825195,74980,1
Azerbaijan,Asia,Western Asia,Western Asia,42150898471,79.79999549,3170000,75.455,70.511,3.446,10110116,17.3553719,34.01358032,29.31668091,80260,0
"Bahamas, The",Americas,Latin America and the Caribbean,Caribbean,10816902727,85,7250000,76.081,71.659,2.0068,393248,12.82051282,22.13735008,8.179639816,2640,1
Bahrain,Asia,Western Asia,Western Asia,36313430851,99.70150438,11061000,78.423,76.436,0.9257,1701583,15,73.91719818,41.01493073,48950,1
Bangladesh,Asia,Southern Asia,Southern Asia,3.39E+11,12.9,323000,74.595,70.877,0.5809,164689383,20.91690544,20.01847076,27.86776924,198970,0
Barbados,Americas,Latin America and the Caribbean,Caribbean,4184197640,81.76077839,966000,80.482,77.814,2.4843,287371,20,90.5716095,40.33462906,3790,1
Belarus,Europe,Eastern Europe,Eastern Europe,57647179087,82.78915209,11832000,79.4,69.3,5.1905,9398861,40,95.0921402,80.17623901,88140,0
Belgium,Europe,Western Europe,Western Europe,5.40E+11,90.37051309,9343000,84,79.6,3.0709,11555997,41.33333333,89.73699951,68.54914093,108750,1
Belize,Americas,Latin America and the Caribbean,Central America,1605121126,47.0826258,1674000,77.843,71.65,1.1229,397621,9.677419355,31.31575012,18.66002083,1560,0
Benin,Africa,Sub-Saharan Africa,Western Africa,15488837235,14.11901233,337000,63.324,60.201,0.0791,12123198,7.228915663,7.94633007,17.0004406,17380,0
Bermuda,Americas,Northern America,Northern America,7587978000,98.37,805000,85.79,78.13,1.766,63903,,22.90533066,15.28361034,932.164785,1
Bhutan,Asia,Southern Asia,Southern Asia,2194394782,41.77264453,316000,72.176,71.405,0.4242,771612,14.89361702,16.97265053,15.97813988,2470,0
Bolivia,Americas,Latin America and the Caribbean,South America,36171181928,44.28614216,1239000,74.508,68.684,1.5901,11673029,46.15384615,,,56870,0
Bosnia and Herzegovina,Europe,Southern Europe,Southern Europe,19854234712,69.94634763,1198000,79.857,74.893,2.1616,3280815,26.19047619,48.49008179,32.39720154,27190,0
Botswana,Africa,Sub-Saharan Africa,Southern Africa,14523517160,41.41379464,1830000,72.386,66.485,0.5269,2351625,10.76923077,29.93086052,20.29845047,16120,0
Brazil,Americas,Latin America and the Caribbean,South America,1.42E+12,70.43428254,6353000,79.555,72.243,2.1643,212559409,14.61988304,49.34313965,37.57003021,1032640,0
British Virgin Islands,Americas,Latin America and the Caribbean,Caribbean,,77.70426829,302399.9939,,,,30237,,20.94339943,11.65587044,75.150653,0
Brunei Darussalam,Asia,South-eastern Asia,South-eastern Asia,13830513708,95,333000,77.106,74.728,1.609,437483,9.090909091,38.76974869,24.91083908,16620,1
Bulgaria,Europe,Eastern Europe,Eastern Europe,67448118627,67.94698094,12552000,78.5,71.5,4.0332,6927288,26.66666667,79.33702087,64.19235229,53330,0
Burkina Faso,Africa,Sub-Saharan Africa,Western Africa,16664828374,15.87620691,143000,62.294,60.739,0.0847,20903278,6.299212598,5.082520008,9.0479002,30850,0
Burundi,Africa,Sub-Saharan Africa,Eastern Africa,3274862978,2.660748535,299000,63.377,59.764,0.1001,11890781,38.21138211,3.07171011,5.052259922,5520,0
Cabo Verde,Africa,Sub-Saharan Africa,Western Africa,1665037015,57.16214635,758000,76.197,69.526,0.7814,555988,25,28.34651947,19.04476929,830,0
Cambodia,Asia,South-eastern Asia,South-eastern Asia,24280926776,40.5459865,6611000,71.909,67.538,0.1927,16718971,20,14.30465031,15.16370964,37460,0
Cameroon,Africa,Sub-Saharan Africa,Middle Africa,39216657303,23.20297197,997000,60.561,58.029,0.0881,26545864,33.88888889,13.40384007,15.12481022,89050,0
Canada,Americas,Northern America,Northern America,1.62E+12,92.70137191,32430000,84.2,80,2.6102,38005238,28.99408284,80.57795715,60.16537094,724930,1
Cayman Islands,Americas,Latin America and the Caribbean,Caribbean,4493181807,81.06769325,2334000,84.7,79.8,1.939,65720,,40.30809021,18.02029991,300.260998,1
Central African Republic,Africa,Sub-Saharan Africa,Middle Africa,2456787987,4.339254945,109000,55.514,51.081,0.0721,4829764,8.571428571,1.601019979,4.364180088,55680,0
Chad,Africa,Sub-Saharan Africa,Middle Africa,9948225336,6.49999812,87000,55.669,52.835,0.0434,16425859,15.43209877,1.45915997,5.031829834,80680,0
Channel Islands,,,,10888355342,,,84.915,81.173,1.522,173859,,,,,1
Chile,Americas,Latin America and the Caribbean,South America,2.42E+11,82.32748693,5431000,82.442,77.771,2.5912,19116209,22.58064516,97.89286041,84.11824036,109590,0
China,Asia,Eastern Asia,Eastern Asia,1.46E+13,54.3,162538000,79.244,74.761,1.9798,1402112000,24.94117647,59.46992111,48.72491837,12355240,0
Colombia,Americas,Latin America and the Caribbean,South America,2.66E+11,65.00690072,4529000,80.019,74.528,2.1848,50882884,18.34319527,59.72433853,51.09033966,184100,0
Comoros,Africa,Sub-Saharan Africa,Eastern Africa,1227286591,8.478170295,45099.99847,66.121,62.587,0.2715,869595,16.66666667,8.048789978,9.912739754,590,0
"Congo, Dem. Rep.",Africa,Sub-Saharan Africa,Middle Africa,48596099296,8.619904916,351000,62.233,59.147,0.074,89561404,12.8,4.73100996,8.466059685,58700,0
"Congo, Rep.",Africa,Sub-Saharan Africa,Middle Africa,9312877438,8.65,158000,66.023,63.082,0.1645,5518092,11.25827815,10.14620018,15.17201996,9370,0
Costa Rica,Americas,Latin America and the Caribbean,Central America,58035887491,81.20259644,3366000,82.893,77.739,2.8939,5094114,45.61403509,63.61806107,51.9770813,15810,0
Cote d'Ivoire,Africa,Sub-Saharan Africa,Western Africa,59585159229,36.45378947,2070000,59.119,56.593,0.2314,26378275,11.37254902,7.635499954,11.06147957,22900,0
Croatia,Europe,Southern Europe,Southern Europe,56213927132,79.07978368,60021000,81.6,75.4,2.9996,4047200,31.12582781,79.05442047,56.78118134,22550,1
Cuba,Americas,Latin America and the Caribbean,Caribbean,90086000000,61.83630006,4276000,80.779,76.84,8.4218,11326616,53.2231405,51.0078392,32.28290176,41860,0
Curacao,Americas,Latin America and the Caribbean,Caribbean,3234078212,68.12721625,1293000,81.5,74.7,,155014,,29.58909035,12.99602985,,1
Cyprus,Asia,Western Asia,Western Asia,22802068532,86.06362996,4117000,83.032,78.921,1.9509,1207361,19.64285714,84.49549866,78.03450012,8600,1
Czech Republic,Europe,Eastern Europe,Eastern Europe,2.35E+11,80.86694441,36268000,82.1,76.3,4.1208,10698896,22.5,74.52980804,53.49834824,122840,1
Denmark,Europe,Northern Europe,Northern Europe,3.66E+11,98.04643475,32903000,83.2,79.3,4.0099,5831404,39.66480447,94.43289185,68.65917206,45870,1
Djibouti,Africa,Sub-Saharan Africa,Eastern Africa,3288872887,55.68140925,63000,69.357,65.116,0.2237,988002,26.15384615,4.568019867,6.025869846,1480,0
Dominica,Americas,Latin America and the Caribbean,Caribbean,483678597,69.61966879,322000,78.8,74.5,1.1189,71991,34.375,7.250080109,7.219099998,240,0
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,74984131332,74.82428986,7550000,77.381,70.991,1.56,10847904,27.89473684,77.01242065,42.98213959,39060,0
Ecuador,Americas,Latin America and the Caribbean,South America,95950843000,54.06292473,2108000,79.838,74.282,2.0368,17643060,39.41605839,48.39746857,41.5069809,65680,0
"Egypt, Arab Rep.",Africa,Northern Africa,Northern Africa,3.52E+11,57.28286878,13026000,74.35,69.742,0.4521,102334403,27.41116751,35.77687836,34.57846069,329220,0
El Salvador,Americas,Latin America and the Caribbean,Central America,23324940000,33.8207289,2639000,77.842,68.455,1.5662,6486201,33.33333333,31.14780045,27.54276085,12350,0
Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa,7454529309,26.23999996,,59.918,57.743,0.4017,1402985,21,1.224570036,2.385099888,19270,0
Eritrea,Africa,Sub-Saharan Africa,Eastern Africa,2041455161,1.30890698,142000,68.555,64.153,0.0628,3213969,22,2.785609961,3.928780079,7480,0
Estonia,Europe,Northern Europe,Northern Europe,30759017474,89.53232756,6103000,82.8,74.4,4.4833,1331057,28.71287129,85.34838104,56.31224823,18610,1
Eswatini,Africa,Sub-Saharan Africa,Southern Africa,3751567729,30.3,1226000,64.845,56.007,0.3285,1160164,9.589041096,6.563769817,6.950449944,3120,0
Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,1.07E+11,18.61805145,812000,68.536,64.694,0.0769,114963583,38.75685558,5.263140202,10.8920002,172230,0
Faroe Islands,Europe,Northern Europe,Northern Europe,3219884847,97.58195894,,85,80.6,,48865,,,,,1
Fiji,Oceania,Melanesia,Melanesia,4114600096,49.96637301,969000,69.331,65.698,0.86,896444,19.60784314,17.60470009,14.74693012,2820,0
Finland,Europe,Northern Europe,Northern Europe,2.74E+11,89.60738511,3290000,84.5,79.2,3.8118,5530719,46,98.06279755,82.81041718,54490,1
France,Europe,Western Europe,Western Europe,2.77E+12,83.33974409,211998000,85.6,79.7,3.2672,67391582,39.51473137,75.21047974,60.34038162,423350,1
French Polynesia,Oceania,Polynesia,Polynesia,3447543138,72.70389531,300000,79.898,75.612,1.697,280904,,,,1020.73382,0
Gabon,Africa,Sub-Saharan Africa,Middle Africa,14503352951,50.32012015,526000,68.669,64.382,0.6819,2225728,14.78873239,6.12375021,10.42722988,7460,0
"Gambia, The",Africa,Sub-Saharan Africa,Western Africa,1868469062,19.83645444,619000,63.481,60.656,0.1021,2416664,8.620689655,2.244820118,3.209480047,2790,0
